Año,Carrera,Promedio_Calificacion
2022,IngenieriaIndustrial,7.833333333333333
2022,IngenieriaCivil,7.794444444444445
2022,IngenieriaenComputacion,7.223529411764706
2022,IngenieriaMecanica,7.0588235294117645

2023,IngenieriaIndustrial,7.7631578947368425
2023,IngenieriaMecanica,7.654545454545455
2023,IngenieriaenComputacion,7.6000000000000005
2023,IngenieriaCivil,7.192857142857143

2024,IngenieriaCivil,8.03103448275862
2024,IngenieriaenComputacion,7.728571428571429
2024,IngenieriaIndustrial,7.68235294117647
2024,IngenieriaMecanica,7.5
