id_estudiante,carrera,materia,calificacion,semestre,año
1,IngenieriaIndustrial,Algoritmos,9.8,1,2024
2,IngenieriaCivil,Programacion,8.9,1,2024
3,IngenieriaCivil,Estadistica,6.1,2,2023
4,IngenieriaCivil,Fisica,9.4,7,2022
5,IngenieriaCivil,Fisica,7.5,7,2022
6,IngenieriaMecanica,Calculo,7.4,4,2024
7,IngenieriaIndustrial,Fisica,6.8,8,2023
8,IngenieriaCivil,Calculo,9.3,8,2022
9,IngenieriaMecanica,Base de Datos,6.2,8,2022
10,IngenieriaenComputacion,Programacion,5.5,6,2022
11,IngenieriaIndustrial,Calculo,6.4,7,2023
12,IngenieriaMecanica,Programacion,7.7,6,2024
13,IngenieriaMecanica,Fisica,9.9,3,2023
14,IngenieriaCivil,Calculo,9.8,5,2022
15,IngenieriaenComputacion,Calculo,9.4,7,2022
16,IngenieriaenComputacion,Estadistica,8.3,5,2023
17,IngenieriaIndustrial,Algoritmos,9.6,1,2023
18,IngenieriaCivil,Estadistica,5.8,7,2023
19,IngenieriaIndustrial,Algoritmos,9.1,3,2022
20,IngenieriaenComputacion,Estadistica,9.9,6,2023
21,IngenieriaMecanica,Algoritmos,9.4,7,2024
22,IngenieriaMecanica,Estadistica,5.0,5,2024
23,IngenieriaCivil,Estadistica,9.5,7,2024
24,IngenieriaMecanica,Programacion,8.1,6,2022
25,IngenieriaIndustrial,Estadistica,8.4,5,2022
26,IngenieriaenComputacion,Algoritmos,5.0,6,2022
27,IngenieriaMecanica,Estadistica,6.5,4,2022
28,IngenieriaIndustrial,Programacion,7.4,1,2022
29,IngenieriaIndustrial,Estadistica,9.4,3,2024
30,IngenieriaMecanica,Fisica,8.5,1,2023
31,IngenieriaCivil,Base de Datos,5.3,8,2023
32,IngenieriaIndustrial,Estadistica,9.7,3,2024
33,IngenieriaIndustrial,Fisica,9.0,7,2023
34,IngenieriaMecanica,Programacion,7.1,7,2024
35,IngenieriaCivil,Estadistica,6.2,1,2024
36,IngenieriaIndustrial,Base de Datos,9.4,3,2022
37,IngenieriaMecanica,Calculo,9.0,5,2022
38,IngenieriaCivil,Algoritmos,5.5,6,2022
39,IngenieriaMecanica,Fisica,6.4,6,2023
40,IngenieriaIndustrial,Calculo,7.1,8,2024
41,IngenieriaMecanica,Base de Datos,5.8,5,2024
42,IngenieriaCivil,Algoritmos,6.5,3,2024
43,IngenieriaCivil,Calculo,7.9,7,2023
44,IngenieriaCivil,Base de Datos,9.3,5,2023
45,IngenieriaenComputacion,Fisica,6.7,6,2023
46,IngenieriaCivil,Fisica,9.7,3,2024
47,IngenieriaMecanica,Base de Datos,7.9,7,2024
48,IngenieriaIndustrial,Calculo,7.0,2,2024
49,IngenieriaMecanica,Calculo,5.7,3,2022
50,IngenieriaMecanica,Algoritmos,6.9,6,2022
51,IngenieriaMecanica,Calculo,7.5,3,2024
52,IngenieriaCivil,Programacion,6.2,6,2022
53,IngenieriaMecanica,Fisica,7.7,8,2022
54,IngenieriaenComputacion,Algoritmos,8.2,3,2022
55,IngenieriaCivil,Fisica,5.4,6,2022
56,IngenieriaMecanica,Calculo,8.0,8,2022
57,IngenieriaCivil,Calculo,8.8,6,2024
58,IngenieriaCivil,Programacion,9.9,5,2022
59,IngenieriaCivil,Fisica,7.2,2,2023
60,IngenieriaenComputacion,Estadistica,9.1,5,2024
61,IngenieriaMecanica,Calculo,5.0,1,2022
62,IngenieriaCivil,Programacion,7.4,5,2024
63,IngenieriaIndustrial,Estadistica,6.5,4,2023
64,IngenieriaMecanica,Estadistica,8.8,1,2023
65,IngenieriaCivil,Programacion,5.1,6,2024
66,IngenieriaCivil,Fisica,7.4,7,2022
67,IngenieriaMecanica,Programacion,7.1,1,2024
68,IngenieriaCivil,Programacion,7.3,8,2022
69,IngenieriaIndustrial,Programacion,6.2,3,2023
70,IngenieriaIndustrial,Calculo,8.7,1,2023
71,IngenieriaMecanica,Base de Datos,6.7,4,2023
72,IngenieriaMecanica,Calculo,7.1,6,2024
73,IngenieriaMecanica,Fisica,6.9,1,2024
74,IngenieriaMecanica,Estadistica,6.3,4,2024
75,IngenieriaIndustrial,Base de Datos,5.9,3,2023
76,IngenieriaMecanica,Fisica,8.3,8,2023
77,IngenieriaenComputacion,Programacion,9.7,6,2024
78,IngenieriaenComputacion,Base de Datos,7.6,8,2023
79,IngenieriaenComputacion,Base de Datos,9.9,3,2022
80,IngenieriaIndustrial,Programacion,6.5,3,2024
81,IngenieriaIndustrial,Fisica,8.5,7,2023
82,IngenieriaMecanica,Fisica,8.9,7,2024
83,IngenieriaCivil,Estadistica,7.9,6,2024
84,IngenieriaCivil,Calculo,9.7,4,2024
85,IngenieriaCivil,Programacion,9.7,7,2024
86,IngenieriaenComputacion,Base de Datos,5.7,2,2022
87,IngenieriaIndustrial,Algoritmos,9.6,7,2022
88,IngenieriaIndustrial,Estadistica,5.7,4,2024
89,IngenieriaMecanica,Calculo,8.9,7,2022
90,IngenieriaenComputacion,Calculo,6.0,3,2023
